Fecha,Region,Categoria,Cantidad_Semanal,Cantidad_Predicha
2024-02-05,Buenos Aires,Bebidas,43,42.786827197917695
2024-02-08,Buenos Aires,Bebidas,43,42.97572402463412
2024-02-11,Buenos Aires,Bebidas,43,43.05164222567323
2024-02-11,Buenos Aires,Bebidas,43,42.95921419762911
2024-02-11,Buenos Aires,Bebidas,43,42.90423207209284
2024-02-13,Buenos Aires,Bebidas,66,65.92652331687053
2024-02-18,Buenos Aires,Bebidas,66,66.17067808069508
2024-02-18,Buenos Aires,Bebidas,66,65.96666363680572
2024-02-19,Buenos Aires,Bebidas,40,39.87894723640146
2024-02-19,Buenos Aires,Bebidas,40,40.091310639083275
2024-02-19,Buenos Aires,Bebidas,40,39.892211744893004
2024-02-20,Buenos Aires,Bebidas,40,40.266910186105356
2024-03-01,Buenos Aires,Bebidas,55,54.938027582771454
2024-03-01,Buenos Aires,Bebidas,55,54.915055450007415
2024-03-08,Buenos Aires,Bebidas,41,41.07904817608892
2024-03-19,Buenos Aires,Bebidas,65,65.01991830226096
2024-03-24,Buenos Aires,Bebidas,65,64.79554299411467
2024-03-25,Buenos Aires,Bebidas,85,84.93223579436055
2024-03-25,Buenos Aires,Bebidas,85,85.17363029637399
2024-03-26,Buenos Aires,Bebidas,85,85.11198052188
2024-03-27,Buenos Aires,Bebidas,85,84.83355270875218
2024-03-28,Buenos Aires,Bebidas,85,84.93216055388143
2024-03-29,Buenos Aires,Bebidas,85,84.96712749163426
2024-04-03,Buenos Aires,Bebidas,56,55.976298186781314
2024-04-04,Buenos Aires,Bebidas,56,56.02525572167247
2024-04-06,Buenos Aires,Bebidas,56,55.964673211776415
2024-04-12,Buenos Aires,Bebidas,47,47.023030605880564
2024-04-14,Buenos Aires,Bebidas,47,46.925880435478106
2024-04-20,Buenos Aires,Bebidas,41,41.02782480617448
2024-04-25,Buenos Aires,Bebidas,26,26.297451092850245
2024-05-06,Buenos Aires,Bebidas,64,63.93469212341078
2024-05-07,Buenos Aires,Bebidas,64,64.0544376450156
2024-05-07,Buenos Aires,Bebidas,64,64.03468225505839
2024-05-09,Buenos Aires,Bebidas,64,63.96874516933831
2024-05-10,Buenos Aires,Bebidas,64,63.937394763574446
2024-05-14,Buenos Aires,Bebidas,57,56.97674437054962
2024-05-15,Buenos Aires,Bebidas,57,57.09933987523105
2024-05-19,Buenos Aires,Bebidas,57,57.089657958921464
2024-05-29,Buenos Aires,Bebidas,71,70.86425298139243
2024-05-29,Buenos Aires,Bebidas,71,70.95815819089336
2024-05-30,Buenos Aires,Bebidas,71,71.02776949771558
2024-05-30,Buenos Aires,Bebidas,71,70.89850552010282
2024-06-01,Buenos Aires,Bebidas,71,70.66383665704883
2024-06-01,Buenos Aires,Bebidas,71,70.53441238952452
2024-06-02,Buenos Aires,Bebidas,71,70.87862890204121
2024-06-03,Buenos Aires,Bebidas,64,63.98927443327596
2024-06-08,Buenos Aires,Bebidas,64,63.89981588777584
2024-06-08,Buenos Aires,Bebidas,64,63.732088059871224
2024-06-09,Buenos Aires,Bebidas,64,63.94577371832927
2024-06-11,Buenos Aires,Bebidas,46,46.20496145755308
2024-06-11,Buenos Aires,Bebidas,46,46.143587607197226
2024-06-16,Buenos Aires,Bebidas,46,46.175947964867866
2024-06-19,Buenos Aires,Bebidas,35,35.299238996924934
2024-06-25,Buenos Aires,Bebidas,41,41.101362563067276
2024-06-29,Buenos Aires,Bebidas,41,41.07183427281481
2024-06-29,Buenos Aires,Bebidas,41,41.15227755725628
2024-06-29,Buenos Aires,Bebidas,41,40.98335691272471
2024-07-02,Buenos Aires,Bebidas,61,60.74694200006339
2024-07-09,Buenos Aires,Bebidas,58,57.971455731313405
2024-07-09,Buenos Aires,Bebidas,58,57.89019035839713
2024-07-17,Buenos Aires,Bebidas,35,35.00829825929781
2024-07-19,Buenos Aires,Bebidas,35,35.0979013565827
2024-07-22,Buenos Aires,Bebidas,76,75.88905353171333
2024-07-23,Buenos Aires,Bebidas,76,75.93238580913999
2024-07-26,Buenos Aires,Bebidas,76,75.81061079295579
2024-07-29,Buenos Aires,Bebidas,32,32.09451079383951
2024-08-02,Buenos Aires,Bebidas,32,32.29393026529604
2024-08-05,Buenos Aires,Bebidas,47,46.8188940828846
2024-08-07,Buenos Aires,Bebidas,47,47.04054706780031
2024-08-13,Buenos Aires,Bebidas,56,55.89166104882078
2024-08-14,Buenos Aires,Bebidas,56,56.02899345974838
2024-08-27,Buenos Aires,Bebidas,37,37.22286503507646
2024-08-30,Buenos Aires,Bebidas,37,37.19434517386384
2024-09-02,Buenos Aires,Bebidas,50,49.93097733867566
2024-09-05,Buenos Aires,Bebidas,50,49.775906221180854
2024-09-11,Buenos Aires,Bebidas,40,39.99536118825859
2024-09-14,Buenos Aires,Bebidas,40,39.96210277846006
2024-09-14,Buenos Aires,Bebidas,40,39.89042302755258
2024-09-17,Buenos Aires,Bebidas,57,56.980308437906224
2024-09-19,Buenos Aires,Bebidas,57,56.8803817529283
2024-09-25,Buenos Aires,Bebidas,29,30.469180567553373
2024-09-30,Buenos Aires,Bebidas,74,73.78446841676248
2024-10-05,Buenos Aires,Bebidas,74,74.0320415386552
2024-10-06,Buenos Aires,Bebidas,74,74.15411856917092
2024-10-11,Buenos Aires,Bebidas,56,55.95993885440218
2024-10-11,Buenos Aires,Bebidas,56,56.121011694708244
2024-10-15,Buenos Aires,Bebidas,100,99.88302095318501
2024-10-15,Buenos Aires,Bebidas,100,99.9905100700131
2024-10-16,Buenos Aires,Bebidas,100,100.00350649998671
2024-10-16,Buenos Aires,Bebidas,100,99.77261098075503
2024-10-16,Buenos Aires,Bebidas,100,99.86640023523245
2024-10-18,Buenos Aires,Bebidas,100,99.87226996706252
2024-10-20,Buenos Aires,Bebidas,100,99.96905506780591
2024-10-21,Buenos Aires,Bebidas,52,52.08641690455072
2024-10-22,Buenos Aires,Bebidas,52,52.301253760895634
2024-10-23,Buenos Aires,Bebidas,52,52.16273997006315
2024-10-24,Buenos Aires,Bebidas,52,51.77678486980745
2024-10-27,Buenos Aires,Bebidas,52,51.93509760796414
2024-10-27,Buenos Aires,Bebidas,52,52.06797034276414
2024-11-07,Buenos Aires,Bebidas,65,64.94652790940162
2024-11-09,Buenos Aires,Bebidas,65,65.14561803084092
2024-11-13,Buenos Aires,Bebidas,67,66.96261562450132
2024-11-14,Buenos Aires,Bebidas,67,67.0864631366627
2024-11-15,Buenos Aires,Bebidas,67,66.51741896230013
2024-11-16,Buenos Aires,Bebidas,67,66.67822884924195
2024-11-23,Buenos Aires,Bebidas,30,31.37569071971047
2024-11-25,Buenos Aires,Bebidas,80,79.92561734026219
2024-11-26,Buenos Aires,Bebidas,80,79.75797106653674
2024-11-27,Buenos Aires,Bebidas,80,80.10072870957157
2024-11-29,Buenos Aires,Bebidas,80,80.10042488425434
2024-12-01,Buenos Aires,Bebidas,80,79.92785931167766
2024-12-04,Buenos Aires,Bebidas,49,48.83414343922286
2024-12-09,Buenos Aires,Bebidas,27,27.364303364473116
2024-12-15,Buenos Aires,Bebidas,27,27.0039351108633
2024-12-18,Buenos Aires,Bebidas,51,50.892220607541205
2024-12-20,Buenos Aires,Bebidas,51,50.94367787876994
2024-12-22,Buenos Aires,Bebidas,51,51.0775811850444
2024-12-22,Buenos Aires,Bebidas,51,51.06130154994676
2024-12-23,Buenos Aires,Bebidas,57,56.7803560910451
2024-12-26,Buenos Aires,Bebidas,57,56.84894642220096
2024-02-01,Centro,Bebidas,12,12.160216422424575
2024-02-01,Centro,Bebidas,12,11.856798717322318
2024-02-10,Centro,Bebidas,20,20.090369839464625
2024-02-13,Centro,Bebidas,39,38.98810182300537
2024-02-18,Centro,Bebidas,39,39.04064089121962
2024-03-03,Centro,Bebidas,35,34.90947369063036
2024-03-12,Centro,Bebidas,27,27.08039481164688
2024-03-19,Centro,Bebidas,32,31.96210618682593
2024-03-21,Centro,Bebidas,32,32.086795197694514
2024-03-29,Centro,Bebidas,32,31.90623255030705
2024-03-31,Centro,Bebidas,32,32.00719265110344
2024-04-11,Centro,Bebidas,27,27.005562808648524
2024-04-20,Centro,Bebidas,19,18.99544989486334
2024-04-20,Centro,Bebidas,19,19.18007798170527
2024-04-25,Centro,Bebidas,45,44.527745043638745
2024-05-07,Centro,Bebidas,40,40.065736188010014
2024-05-11,Centro,Bebidas,40,39.969157245407544
2024-05-11,Centro,Bebidas,40,39.87375542335166
2024-05-15,Centro,Bebidas,20,20.26867569581237
2024-05-21,Centro,Bebidas,39,38.927553892694505
2024-05-23,Centro,Bebidas,39,39.00823966224753
2024-05-23,Centro,Bebidas,39,39.00162111291957
2024-05-25,Centro,Bebidas,39,39.00823595788231
2024-05-28,Centro,Bebidas,53,52.761283353544336
2024-05-30,Centro,Bebidas,53,52.865103391967125
2024-05-30,Centro,Bebidas,53,52.777047611011874
2024-06-04,Centro,Bebidas,26,26.16916573740726
2024-06-07,Centro,Bebidas,26,26.342058411500492
