Fecha,Region,ID_Producto,Categoria,Cantidad_Semanal,Cantidad_Predicha,Modelo_Usado
2024-02-05,Buenos Aires,29,Bebidas,43,,LGBM
2024-02-08,Buenos Aires,27,Bebidas,43,,LGBM
2024-02-11,Buenos Aires,28,Bebidas,43,,Media_Movil
2024-02-11,Buenos Aires,27,Bebidas,43,,LGBM
2024-02-11,Buenos Aires,29,Bebidas,43,,LGBM
2024-02-13,Buenos Aires,29,Bebidas,66,,LGBM
2024-02-18,Buenos Aires,29,Bebidas,66,,LGBM
2024-02-18,Buenos Aires,27,Bebidas,66,,LGBM
2024-02-19,Buenos Aires,30,Bebidas,40,,LGBM
2024-02-19,Buenos Aires,27,Bebidas,40,,LGBM
2024-02-19,Buenos Aires,29,Bebidas,40,,LGBM
2024-02-20,Buenos Aires,29,Bebidas,40,,LGBM
2024-03-01,Buenos Aires,27,Bebidas,55,,LGBM
2024-03-01,Buenos Aires,27,Bebidas,55,,LGBM
2024-03-08,Buenos Aires,30,Bebidas,41,,LGBM
2024-03-19,Buenos Aires,29,Bebidas,65,,LGBM
2024-03-24,Buenos Aires,29,Bebidas,65,,LGBM
2024-03-25,Buenos Aires,27,Bebidas,85,,LGBM
2024-03-25,Buenos Aires,27,Bebidas,85,,LGBM
2024-03-26,Buenos Aires,28,Bebidas,85,43.0,Media_Movil
2024-03-27,Buenos Aires,29,Bebidas,85,,LGBM
2024-03-28,Buenos Aires,27,Bebidas,85,,LGBM
2024-03-29,Buenos Aires,28,Bebidas,85,64.0,Media_Movil
2024-04-03,Buenos Aires,27,Bebidas,56,,LGBM
2024-04-04,Buenos Aires,27,Bebidas,56,,LGBM
2024-04-06,Buenos Aires,30,Bebidas,56,,LGBM
2024-04-12,Buenos Aires,27,Bebidas,47,,LGBM
2024-04-14,Buenos Aires,30,Bebidas,47,,LGBM
2024-04-20,Buenos Aires,30,Bebidas,41,,LGBM
2024-04-25,Buenos Aires,30,Bebidas,26,,LGBM
2024-05-06,Buenos Aires,27,Bebidas,64,,LGBM
2024-05-07,Buenos Aires,30,Bebidas,64,,LGBM
2024-05-07,Buenos Aires,29,Bebidas,64,,LGBM
2024-05-09,Buenos Aires,30,Bebidas,64,,LGBM
2024-05-10,Buenos Aires,28,Bebidas,64,71.0,Media_Movil
2024-05-14,Buenos Aires,28,Bebidas,57,69.25,Media_Movil
2024-05-15,Buenos Aires,28,Bebidas,57,66.8,Media_Movil
2024-05-19,Buenos Aires,29,Bebidas,57,,LGBM
2024-05-29,Buenos Aires,30,Bebidas,71,,LGBM
2024-05-29,Buenos Aires,28,Bebidas,71,65.16666666666667,Media_Movil
2024-05-30,Buenos Aires,28,Bebidas,71,66.0,Media_Movil
2024-05-30,Buenos Aires,27,Bebidas,71,,LGBM
2024-06-01,Buenos Aires,29,Bebidas,71,,LGBM
2024-06-01,Buenos Aires,27,Bebidas,71,,LGBM
2024-06-02,Buenos Aires,30,Bebidas,71,,LGBM
2024-06-03,Buenos Aires,27,Bebidas,64,,LGBM
2024-06-08,Buenos Aires,28,Bebidas,64,70.0,Media_Movil
2024-06-08,Buenos Aires,30,Bebidas,64,,LGBM
2024-06-09,Buenos Aires,28,Bebidas,64,67.0,Media_Movil
2024-06-11,Buenos Aires,28,Bebidas,46,64.0,Media_Movil
2024-06-11,Buenos Aires,28,Bebidas,46,61.42857142857143,Media_Movil
2024-06-16,Buenos Aires,30,Bebidas,46,,LGBM
2024-06-19,Buenos Aires,29,Bebidas,35,,LGBM
2024-06-25,Buenos Aires,27,Bebidas,41,,LGBM
2024-06-29,Buenos Aires,27,Bebidas,41,,LGBM
2024-06-29,Buenos Aires,29,Bebidas,41,,LGBM
2024-06-29,Buenos Aires,30,Bebidas,41,,LGBM
2024-07-02,Buenos Aires,28,Bebidas,61,59.857142857142854,Media_Movil
2024-07-09,Buenos Aires,30,Bebidas,58,,LGBM
2024-07-09,Buenos Aires,29,Bebidas,58,,LGBM
2024-07-17,Buenos Aires,30,Bebidas,35,,LGBM
2024-07-19,Buenos Aires,27,Bebidas,35,,LGBM
2024-07-22,Buenos Aires,27,Bebidas,76,,LGBM
2024-07-23,Buenos Aires,30,Bebidas,76,,LGBM
2024-07-26,Buenos Aires,29,Bebidas,76,,LGBM
2024-07-29,Buenos Aires,28,Bebidas,32,60.42857142857143,Media_Movil
2024-08-02,Buenos Aires,30,Bebidas,32,,LGBM
2024-08-05,Buenos Aires,29,Bebidas,47,,LGBM
2024-08-07,Buenos Aires,29,Bebidas,47,,LGBM
2024-08-13,Buenos Aires,30,Bebidas,56,,LGBM
2024-08-14,Buenos Aires,27,Bebidas,56,,LGBM
2024-08-27,Buenos Aires,30,Bebidas,37,,LGBM
2024-08-30,Buenos Aires,28,Bebidas,37,54.857142857142854,Media_Movil
2024-09-02,Buenos Aires,29,Bebidas,50,,LGBM
2024-09-05,Buenos Aires,30,Bebidas,50,,LGBM
2024-09-11,Buenos Aires,27,Bebidas,40,,LGBM
2024-09-14,Buenos Aires,29,Bebidas,40,,LGBM
2024-09-14,Buenos Aires,30,Bebidas,40,,LGBM
2024-09-17,Buenos Aires,27,Bebidas,57,,LGBM
2024-09-19,Buenos Aires,28,Bebidas,57,50.0,Media_Movil
2024-09-25,Buenos Aires,29,Bebidas,29,,LGBM
2024-09-30,Buenos Aires,27,Bebidas,74,,LGBM
2024-10-05,Buenos Aires,27,Bebidas,74,,LGBM
2024-10-06,Buenos Aires,29,Bebidas,74,,LGBM
2024-10-11,Buenos Aires,27,Bebidas,56,,LGBM
2024-10-11,Buenos Aires,28,Bebidas,56,49.0,Media_Movil
2024-10-15,Buenos Aires,30,Bebidas,100,,LGBM
2024-10-15,Buenos Aires,29,Bebidas,100,,LGBM
2024-10-16,Buenos Aires,27,Bebidas,100,,LGBM
2024-10-16,Buenos Aires,27,Bebidas,100,,LGBM
2024-10-16,Buenos Aires,28,Bebidas,100,47.857142857142854,Media_Movil
2024-10-18,Buenos Aires,27,Bebidas,100,,LGBM
2024-10-20,Buenos Aires,27,Bebidas,100,,LGBM
2024-10-21,Buenos Aires,27,Bebidas,52,,LGBM
2024-10-22,Buenos Aires,28,Bebidas,52,55.57142857142857,Media_Movil
2024-10-23,Buenos Aires,27,Bebidas,52,,LGBM
2024-10-24,Buenos Aires,29,Bebidas,52,,LGBM
2024-10-27,Buenos Aires,29,Bebidas,52,,LGBM
2024-10-27,Buenos Aires,30,Bebidas,52,,LGBM
2024-11-07,Buenos Aires,27,Bebidas,65,,LGBM
2024-11-09,Buenos Aires,27,Bebidas,65,,LGBM
2024-11-13,Buenos Aires,27,Bebidas,67,,LGBM
2024-11-14,Buenos Aires,27,Bebidas,67,,LGBM
2024-11-15,Buenos Aires,28,Bebidas,67,56.42857142857143,Media_Movil
2024-11-16,Buenos Aires,28,Bebidas,67,57.285714285714285,Media_Movil
2024-11-23,Buenos Aires,27,Bebidas,30,,LGBM
2024-11-25,Buenos Aires,30,Bebidas,80,,LGBM
2024-11-26,Buenos Aires,30,Bebidas,80,,LGBM
2024-11-27,Buenos Aires,30,Bebidas,80,,LGBM
2024-11-29,Buenos Aires,30,Bebidas,80,,LGBM
2024-12-01,Buenos Aires,27,Bebidas,80,,LGBM
2024-12-04,Buenos Aires,29,Bebidas,49,,LGBM
2024-12-09,Buenos Aires,28,Bebidas,27,62.285714285714285,Media_Movil
2024-12-15,Buenos Aires,28,Bebidas,27,60.857142857142854,Media_Movil
2024-12-18,Buenos Aires,28,Bebidas,51,56.57142857142857,Media_Movil
2024-12-20,Buenos Aires,27,Bebidas,51,,LGBM
2024-12-22,Buenos Aires,29,Bebidas,51,,LGBM
2024-12-22,Buenos Aires,30,Bebidas,51,,LGBM
2024-12-23,Buenos Aires,30,Bebidas,57,,LGBM
2024-12-26,Buenos Aires,28,Bebidas,57,55.857142857142854,Media_Movil
2024-02-01,Centro,29,Bebidas,12,,LGBM
2024-02-01,Centro,28,Bebidas,12,49.714285714285715,Media_Movil
2024-02-10,Centro,29,Bebidas,20,,LGBM
2024-02-13,Centro,29,Bebidas,39,,LGBM
2024-02-18,Centro,27,Bebidas,39,,LGBM
2024-03-03,Centro,28,Bebidas,35,44.0,Media_Movil
2024-03-12,Centro,29,Bebidas,27,,LGBM
2024-03-19,Centro,30,Bebidas,32,,LGBM
2024-03-21,Centro,27,Bebidas,32,,LGBM
2024-03-29,Centro,30,Bebidas,32,,LGBM
2024-03-31,Centro,29,Bebidas,32,,LGBM
2024-04-11,Centro,29,Bebidas,27,,LGBM
2024-04-20,Centro,29,Bebidas,19,,LGBM
2024-04-20,Centro,28,Bebidas,19,39.42857142857143,Media_Movil
2024-04-25,Centro,29,Bebidas,45,,LGBM
2024-05-07,Centro,29,Bebidas,40,,LGBM
2024-05-11,Centro,27,Bebidas,40,,LGBM
2024-05-11,Centro,27,Bebidas,40,,LGBM
2024-05-15,Centro,29,Bebidas,20,,LGBM
2024-05-21,Centro,30,Bebidas,39,,LGBM
2024-05-23,Centro,30,Bebidas,39,,LGBM
2024-05-23,Centro,29,Bebidas,39,,LGBM
2024-05-25,Centro,30,Bebidas,39,,LGBM
2024-05-28,Centro,29,Bebidas,53,,LGBM
2024-05-30,Centro,27,Bebidas,53,,LGBM
2024-05-30,Centro,27,Bebidas,53,,LGBM
2024-06-04,Centro,28,Bebidas,26,32.57142857142857,Media_Movil
2024-06-07,Centro,30,Bebidas,26,,LGBM
2024-06-21,Centro,30,Bebidas,16,,LGBM
2024-06-28,Centro,30,Bebidas,43,,LGBM
2024-06-29,Centro,27,Bebidas,43,,LGBM
2024-07-02,Centro,28,Bebidas,25,32.42857142857143,Media_Movil
2024-07-04,Centro,30,Bebidas,25,,LGBM
2024-08-02,Centro,30,Bebidas,23,,LGBM
2024-08-04,Centro,27,Bebidas,23,,LGBM
2024-08-08,Centro,28,Bebidas,17,32.142857142857146,Media_Movil
2024-08-10,Centro,27,Bebidas,17,,LGBM
2024-08-13,Centro,27,Bebidas,39,,LGBM
2024-08-19,Centro,29,Bebidas,28,,LGBM
2024-08-25,Centro,29,Bebidas,28,,LGBM
2024-08-25,Centro,29,Bebidas,28,,LGBM
2024-08-26,Centro,28,Bebidas,21,27.285714285714285,Media_Movil
2024-09-11,Centro,28,Bebidas,14,22.142857142857142,Media_Movil
2024-09-12,Centro,29,Bebidas,14,,LGBM
2024-09-29,Centro,27,Bebidas,26,,LGBM
2024-10-13,Centro,28,Bebidas,34,22.428571428571427,Media_Movil
2024-10-17,Centro,28,Bebidas,38,22.285714285714285,Media_Movil
2024-10-17,Centro,29,Bebidas,38,,LGBM
2024-10-19,Centro,29,Bebidas,38,,LGBM
2024-11-03,Centro,29,Bebidas,34,,LGBM
2024-11-08,Centro,30,Bebidas,31,,LGBM
2024-11-11,Centro,29,Bebidas,31,,LGBM
2024-11-18,Centro,29,Bebidas,22,,LGBM
2024-11-20,Centro,29,Bebidas,22,,LGBM
2024-11-25,Centro,30,Bebidas,25,,LGBM
2024-12-01,Centro,29,Bebidas,25,,LGBM
2024-12-01,Centro,30,Bebidas,25,,LGBM
2024-12-05,Centro,28,Bebidas,23,25.0,Media_Movil
2024-12-11,Centro,29,Bebidas,30,,LGBM
2024-12-19,Centro,28,Bebidas,41,24.571428571428573,Media_Movil
2024-12-25,Centro,30,Bebidas,19,,LGBM
2024-02-09,Cuyo,29,Bebidas,24,,LGBM
2024-02-11,Cuyo,29,Bebidas,24,,LGBM
2024-02-11,Cuyo,27,Bebidas,24,,LGBM
2024-02-17,Cuyo,29,Bebidas,48,,LGBM
2024-02-18,Cuyo,27,Bebidas,48,,LGBM
