ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Metodo_Pago_cat,Estado,Categoria,ID_Categoria,Precio_Unitario,Region,ID_Metodo,Metodo_Pago,ID_Ticket,Monto_Venta,semana,mes,dia_semana,ventas_categoria_lag_1,ventas_region_lag_1,cantidad_lag_1,ventas_categoria_rolling_mean_3,ventas_region_rolling_mean_3,ventas_categoria_rolling_std_3,ventas_region_rolling_std_3,ventas_categoria_rolling_mean_7,ventas_region_rolling_mean_7,ventas_categoria_rolling_std_7,ventas_region_rolling_std_7,ventas_categoria_rolling_mean_14,ventas_region_rolling_mean_14,ventas_categoria_rolling_std_14,ventas_region_rolling_std_14,ventas_categoria_rolling_mean_30,ventas_region_rolling_mean_30,ventas_categoria_rolling_std_30,ventas_region_rolling_std_30,ventas_categoria_rolling_mean_2_weeks,ventas_region_rolling_mean_2_weeks,ventas_categoria_rolling_mean_3_weeks,ventas_region_rolling_mean_3_weeks,ventas_categoria_rolling_mean_4_weeks,ventas_region_rolling_mean_4_weeks,ventas_categoria_rolling_mean_5_weeks,ventas_region_rolling_mean_5_weeks,ventas_categoria_rolling_mean_6_weeks,ventas_region_rolling_mean_6_weeks,precio_x_cantidad,cantidad_/_ventas_categoria_rmean_3,cantidad_/_ventas_region_rmean_3,cantidad_/_ventas_categoria_rstd_3,cantidad_/_ventas_region_rstd_3,cantidad_/_ventas_categoria_rmean_7,cantidad_/_ventas_region_rmean_7,cantidad_/_ventas_categoria_rstd_7,cantidad_/_ventas_region_rstd_7,cantidad_/_ventas_categoria_rmean_14,cantidad_/_ventas_region_rmean_14,cantidad_/_ventas_categoria_rstd_14,cantidad_/_ventas_region_rstd_14,cantidad_/_ventas_categoria_rmean_30,cantidad_/_ventas_region_rmean_30,cantidad_/_ventas_categoria_rstd_30,cantidad_/_ventas_region_rstd_30,ventas_categoria_rmean_7_/_14,ventas_region_rmean_7_/_14,ventas_categoria_rmean_+_rstd_7,ventas_region_rmean_+_rstd_7,ventas_categoria_rmean_*_rstd_7,ventas_region_rmean_*_rstd_7,ID_Region,Cluster
1449,2024-02-05,172,29,6,2,Completa,Bebidas,6,11.54,Buenos Aires,2,Tarjeta de Crédito,1567,69.24,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
2043,2024-02-08,318,27,2,5,Completa,Bebidas,6,6.21,Buenos Aires,5,Transferencia,2865,12.42,6,2,3,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,37.26,,,,,,,,,,,,,,,,,,,,,,,0,1
1680,2024-02-11,241,28,3,3,Completa,Bebidas,6,9.45,Buenos Aires,3,Tarjeta de Débito,2179,28.35,6,2,6,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,,,,,,,,,,,,,,,,,,,,,,,0,1
1754,2024-02-11,212,27,3,5,Completa,Bebidas,6,6.21,Buenos Aires,5,Transferencia,1921,18.63,6,2,6,3.0,3.0,3.0,3.6666666666666665,3.6666666666666665,2.0816659994661326,2.0816659994661326,,,,,,,,,,,,,,,,,,,,,,,18.63,0.8181818181818182,0.8181818181818182,1.4411533842457842,1.4411533842457842,,,,,,,,,,,,,,,,,,,0,1
2703,2024-02-11,255,29,3,1,Pendiente,Bebidas,6,11.54,Buenos Aires,1,Efectivo,2309,34.62,6,2,6,3.0,3.0,3.0,2.6666666666666665,2.6666666666666665,0.5773502691896251,0.5773502691896251,,,,,,,,,,,,,,,,,,,,,,,34.62,1.125,1.125,5.196152422706638,5.196152422706638,,,,,,,,,,,,,,,,,,,0,2
681,2024-02-13,14,29,3,3,Completa,Bebidas,6,11.54,Buenos Aires,3,Tarjeta de Débito,117,34.62,7,2,1,3.0,3.0,3.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,34.62,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,2
223,2024-02-18,221,29,1,5,Completa,Bebidas,6,11.54,Buenos Aires,5,Transferencia,2001,11.54,7,2,6,3.0,3.0,3.0,3.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,34.62,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,2
1983,2024-02-18,63,27,4,5,Completa,Bebidas,6,6.21,Buenos Aires,5,Transferencia,575,24.84,7,2,6,1.0,1.0,1.0,2.333333333333333,2.333333333333333,1.1547005383792512,1.1547005383792512,3.0,3.0,1.5275252316519463,1.5275252316519463,,,,,,,,,,,,,,,,,,,6.21,0.4285714285714285,0.4285714285714285,0.8660254037844388,0.8660254037844388,0.3333333333333333,0.3333333333333333,0.6546536707079772,0.6546536707079772,,,,,,,,,,,4.527525231651946,4.527525231651946,4.58257569495584,4.58257569495584,0,0
53,2024-02-19,66,30,2,5,Completa,Bebidas,6,13.54,Buenos Aires,5,Transferencia,601,27.08,8,2,0,4.0,4.0,4.0,2.6666666666666665,2.6666666666666665,1.5275252316519463,1.5275252316519463,2.7142857142857144,2.7142857142857144,0.9511897312113412,0.9511897312113412,,,,,,,,,,,,,,,,,,,54.16,1.5,1.5,2.618614682831909,2.618614682831909,1.4736842105263157,1.4736842105263157,4.205259864302777,4.205259864302777,,,,,,,,,,,3.665475445497056,3.665475445497056,2.5818006990022124,2.5818006990022124,0,0
447,2024-02-19,249,27,5,1,Completa,Bebidas,6,6.21,Buenos Aires,1,Efectivo,2256,31.05,8,2,0,2.0,2.0,2.0,2.333333333333333,2.333333333333333,1.5275252316519463,1.5275252316519463,2.7142857142857144,2.7142857142857144,0.9511897312113412,0.9511897312113412,,,,,,,,,,,,,,,,,,,12.42,0.8571428571428571,0.8571428571428571,1.3093073414159544,1.3093073414159544,0.7368421052631579,0.7368421052631579,2.1026299321513884,2.1026299321513884,,,,,,,,,,,3.665475445497056,3.665475445497056,2.5818006990022124,2.5818006990022124,0,0
2134,2024-02-19,116,29,5,2,Completa,Bebidas,6,11.54,Buenos Aires,2,Tarjeta de Crédito,1060,57.7,8,2,0,5.0,5.0,5.0,3.6666666666666665,3.6666666666666665,1.5275252316519463,1.5275252316519463,3.0,3.0,1.2909944487358054,1.2909944487358054,,,,,,,,,,,,,,,,,,,57.7,1.3636363636363638,1.3636363636363638,3.273268353539886,3.273268353539886,1.6666666666666667,1.6666666666666667,3.8729833462074175,3.8729833462074175,,,,,,,,,,,4.290994448735805,4.290994448735805,3.872983346207416,3.872983346207416,0,0
979,2024-02-20,30,29,5,1,Completa,Bebidas,6,11.54,Buenos Aires,1,Efectivo,268,57.7,8,2,1,5.0,5.0,5.0,4.0,4.0,1.7320508075688772,1.7320508075688772,3.2857142857142856,3.2857142857142856,1.4960264830861911,1.4960264830861911,,,,,,,,,,,,,,,,,,,57.7,1.25,1.25,2.886751345948129,2.886751345948129,1.5217391304347827,1.5217391304347827,3.34218682391596,3.34218682391596,,,,,,,,,,,4.781740768800477,4.781740768800477,4.915515587283199,4.915515587283199,0,1
66,2024-03-01,97,27,3,5,Completa,Bebidas,6,6.21,Buenos Aires,5,Transferencia,889,18.63,9,3,4,5.0,5.0,5.0,5.0,5.0,0.0,0.0,3.571428571428572,3.571428571428572,1.618347187425374,1.618347187425374,,,,,,,,,,,,,,,,,,,31.05,1.0,1.0,,,1.4,1.4,3.089571903266624,3.089571903266624,,,,,,,,,,,5.189775758853946,5.189775758853946,5.779811383662051,5.779811383662051,0,4
1188,2024-03-01,255,27,3,5,Pendiente,Bebidas,6,6.21,Buenos Aires,5,Transferencia,2310,18.63,9,3,4,3.0,3.0,3.0,4.333333333333333,4.333333333333333,1.1547005383792512,1.1547005383792512,3.571428571428572,3.571428571428572,1.618347187425374,1.618347187425374,,,,,,,,,,,,,,,,,,,18.63,0.6923076923076924,0.6923076923076924,2.5980762113533165,2.5980762113533165,0.84,0.84,1.853743141959974,1.853743141959974,,,,,,,,,,,5.189775758853946,5.189775758853946,5.779811383662051,5.779811383662051,0,4
2398,2024-03-08,203,30,1,4,Completa,Bebidas,6,13.54,Buenos Aires,4,Mercado Pago,1836,13.54,10,3,4,3.0,3.0,3.0,3.6666666666666665,3.6666666666666665,1.154700538379251,1.154700538379251,3.857142857142857,3.857142857142857,1.2149857925879122,1.2149857925879122,3.4285714285714284,3.4285714285714284,1.398586413506136,1.398586413506136,,,,,3.4285714285714284,3.4285714285714284,,,,,,,,,40.62,0.8181818181818182,0.8181818181818182,2.598076211353317,2.598076211353317,0.7777777777777778,0.7777777777777778,2.469164675259304,2.469164675259304,0.875,0.875,2.14502298251222,2.14502298251222,,,,,1.125,1.125,5.07212864973077,5.07212864973077,4.686373771410518,4.686373771410518,0,4
208,2024-03-19,66,29,3,1,Completa,Bebidas,6,11.54,Buenos Aires,1,Efectivo,603,34.62,12,3,1,1.0,1.0,1.0,2.333333333333333,2.333333333333333,1.154700538379251,1.154700538379251,3.4285714285714284,3.4285714285714284,1.618347187425374,1.618347187425374,3.071428571428572,3.071428571428572,1.328057326976612,1.328057326976612,,,,,3.071428571428572,3.071428571428572,,,,,,,,,11.54,0.4285714285714285,0.4285714285714285,0.866025403784439,0.866025403784439,0.2916666666666667,0.2916666666666667,0.6179143806533247,0.6179143806533247,0.3255813953488372,0.3255813953488372,0.7529795436440604,0.7529795436440604,,,,,1.1162790697674416,1.1162790697674416,5.046918615996803,5.046918615996803,5.548618928315568,5.548618928315568,0,2
1947,2024-03-24,288,29,2,5,Completa,Bebidas,6,11.54,Buenos Aires,5,Transferencia,2598,23.08,12,3,6,3.0,3.0,3.0,2.333333333333333,2.333333333333333,1.154700538379251,1.154700538379251,3.571428571428572,3.571428571428572,1.511857892036909,1.511857892036909,3.142857142857143,3.142857142857143,1.292412345317728,1.292412345317728,,,,,3.142857142857143,3.142857142857143,,,,,,,,,34.62,1.2857142857142856,1.2857142857142856,2.598076211353317,2.598076211353317,0.84,0.84,1.9843134832984428,1.9843134832984428,0.9545454545454546,0.9545454545454546,2.3212405938930245,2.3212405938930245,,,,,1.1363636363636365,1.1363636363636365,5.08328646346548,5.08328646346548,5.399492471560389,5.399492471560389,0,2
1399,2024-03-25,90,27,2,3,Completa,Bebidas,6,6.21,Buenos Aires,3,Tarjeta de Débito,826,12.42,13,3,0,2.0,2.0,2.0,2.0,2.0,0.9999999999999992,0.9999999999999992,3.142857142857143,3.142857142857143,1.4638501094227994,1.4638501094227994,3.071428571428572,3.071428571428572,1.328057326976612,1.328057326976612,,,,,3.071428571428572,3.071428571428572,,,,,,,,,12.42,1.0,1.0,2.0000000000000013,2.0000000000000013,0.6363636363636364,0.6363636363636364,1.3662601021279468,1.3662601021279468,0.6511627906976744,0.6511627906976744,1.5059590872881208,1.5059590872881208,,,,,1.0232558139534882,1.0232558139534882,4.606707252279942,4.606707252279942,4.600671772471655,4.600671772471655,0,2
1710,2024-03-25,131,27,1,3,Completa,Bebidas,6,6.21,Buenos Aires,3,Tarjeta de Débito,1192,6.21,13,3,0,2.0,2.0,2.0,2.333333333333333,2.333333333333333,0.5773502691896246,0.5773502691896246,2.7142857142857144,2.7142857142857144,1.2535663410560167,1.2535663410560167,3.0,3.0,1.3587324409735149,1.3587324409735149,,,,,3.0,3.0,,,,,,,,,12.42,0.8571428571428571,0.8571428571428571,3.464101615137761,3.464101615137761,0.7368421052631579,0.7368421052631579,1.595448070434932,1.595448070434932,0.6666666666666666,0.6666666666666666,1.4719601443879746,1.4719601443879746,,,,,0.9047619047619048,0.9047619047619048,3.967852055341731,3.967852055341731,3.40253721143776,3.40253721143776,0,2
2683,2024-03-26,14,28,1,2,Completa,Bebidas,6,9.45,Buenos Aires,2,Tarjeta de Crédito,119,9.45,13,3,1,1.0,1.0,1.0,1.6666666666666667,1.6666666666666667,0.5773502691896247,0.5773502691896247,2.142857142857143,2.142857142857143,0.8997354108424356,0.8997354108424356,2.857142857142857,2.857142857142857,1.4600918230947435,1.4600918230947435,,,,,2.857142857142857,2.857142857142857,,,,,,,,,9.45,0.6,0.6,1.7320508075688803,1.7320508075688803,0.4666666666666667,0.4666666666666667,1.1114378604524249,1.1114378604524249,0.35,0.35,0.6848884324825859,0.6848884324825859,,,,,0.75,0.75,3.0425925536995786,3.0425925536995786,1.928004451805219,1.928004451805219,0,0
1278,2024-03-27,11,29,5,4,Pendiente,Bebidas,6,11.54,Buenos Aires,4,Mercado Pago,87,57.7,13,3,2,1.0,1.0,1.0,1.3333333333333333,1.3333333333333333,0.5773502691896247,0.5773502691896247,1.8571428571428568,1.8571428571428568,0.8997354108424352,0.8997354108424352,2.7142857142857144,2.7142857142857144,1.5406577730392863,1.5406577730392863,,,,,2.7142857142857144,2.7142857142857144,,,,,,,,,11.54,0.75,0.75,1.7320508075688803,1.7320508075688803,0.5384615384615384,0.5384615384615384,1.111437860452425,1.111437860452425,0.3684210526315789,0.3684210526315789,0.6490734136415514,0.6490734136415514,,,,,0.6842105263157895,0.6842105263157895,2.756878267985293,2.756878267985293,1.6709371915645226,1.6709371915645226,0,0
1153,2024-03-28,130,27,6,3,Completa,Bebidas,6,6.21,Buenos Aires,3,Tarjeta de Débito,1181,37.26,13,3,3,5.0,5.0,5.0,2.333333333333333,2.333333333333333,2.309401076758503,2.309401076758503,2.142857142857143,2.142857142857143,1.463850109422799,1.463850109422799,3.0,3.0,1.5689290811054724,1.5689290811054724,,,,,3.0,3.0,3.0,3.0,,,,,,,31.05,2.142857142857143,2.142857142857143,2.165063509461097,2.165063509461097,2.333333333333333,2.333333333333333,3.415650255319868,3.415650255319868,1.6666666666666667,1.6666666666666667,3.1868871959954905,3.1868871959954905,,,,,0.7142857142857143,0.7142857142857143,3.606707252279942,3.606707252279942,3.136821663048855,3.136821663048855,0,0
1169,2024-03-29,8,28,5,4,Completa,Bebidas,6,9.45,Buenos Aires,4,Mercado Pago,64,47.25,13,3,4,6.0,6.0,6.0,4.0,4.0,2.6457513110645907,2.6457513110645907,2.857142857142857,2.857142857142857,1.9518001458970664,1.9518001458970664,3.142857142857143,3.142857142857143,1.7478401113789142,1.7478401113789142,,,,,3.142857142857143,3.142857142857143,3.0,3.0,,,,,,,56.7,1.5,1.5,2.2677868380553634,2.2677868380553634,2.1,2.1,3.07408522978788,3.07408522978788,1.9090909090909087,1.9090909090909087,3.4328082763053493,3.4328082763053493,,,,,0.9090909090909092,0.9090909090909092,4.808943003039923,4.808943003039923,5.576571845420189,5.576571845420189,0,1
2954,2024-04-03,237,27,6,3,Completa,Bebidas,6,6.21,Buenos Aires,3,Tarjeta de Débito,2148,37.26,14,4,2,5.0,5.0,5.0,5.333333333333333,5.333333333333333,0.5773502691896257,0.5773502691896257,3.142857142857143,3.142857142857143,2.115700942049815,2.115700942049815,3.357142857142857,3.357142857142857,1.780541959721722,1.780541959721722,,,,,3.357142857142857,3.357142857142857,3.142857142857143,3.142857142857143,,,,,,,31.05,0.9375,0.9375,8.660254037844387,8.660254037844387,1.590909090909091,1.590909090909091,2.363282967183305,2.363282967183305,1.4893617021276595,1.4893617021276595,2.8081337666321784,2.8081337666321784,,,,,0.9361702127659576,0.9361702127659576,5.258558084906958,5.258558084906958,6.649345817870847,6.649345817870847,0,1
327,2024-04-04,203,27,4,2,Completa,Bebidas,6,6.21,Buenos Aires,2,Tarjeta de Crédito,1837,24.84,14,4,3,6.0,6.0,6.0,5.666666666666667,5.666666666666667,0.5773502691896257,0.5773502691896257,3.7142857142857135,3.7142857142857135,2.288688541085317,2.288688541085317,3.4285714285714284,3.4285714285714284,1.869359648250035,1.869359648250035,,,,,3.4285714285714284,3.4285714285714284,3.2857142857142856,3.2857142857142856,,,,,,,37.26,1.0588235294117647,1.0588235294117647,10.392304845413264,10.392304845413264,1.6153846153846154,1.6153846153846154,2.6215886925159086,2.6215886925159086,1.75,1.75,3.2096552451085505,3.2096552451085505,,,,,1.0833333333333337,1.0833333333333337,6.002974255371032,6.002974255371032,8.500843152602608,8.500843152602608,0,4
1960,2024-04-06,266,30,3,5,Completa,Bebidas,6,13.54,Buenos Aires,5,Transferencia,2400,40.62,14,4,5,4.0,4.0,4.0,5.0,5.0,1.0,1.0,4.0,4.0,2.1602468994692874,2.1602468994692874,3.357142857142857,3.357142857142857,1.8232322463624389,1.8232322463624389,,,,,3.357142857142857,3.357142857142857,3.333333333333333,3.333333333333333,,,,,,,54.16,0.8,0.8,4.0,4.0,1.0,1.0,1.8516401995451024,1.8516401995451024,1.1914893617021276,1.1914893617021276,2.193905909672488,2.193905909672488,,,,,1.1914893617021276,1.1914893617021276,6.160246899469287,6.160246899469287,8.64098759787715,8.64098759787715,0,4
1915,2024-04-12,21,27,4,4,Completa,Bebidas,6,6.21,Buenos Aires,4,Mercado Pago,177,24.84,15,4,4,3.0,3.0,3.0,4.333333333333333,4.333333333333333,1.5275252316519463,1.5275252316519463,4.285714285714286,4.285714285714286,1.7994708216848756,1.7994708216848756,3.2142857142857144,3.2142857142857144,1.7619295117556788,1.7619295117556788,,,,,3.2142857142857144,3.2142857142857144,3.333333333333333,3.333333333333333,,,,,,,18.63,0.6923076923076924,0.6923076923076924,1.963961012123932,1.963961012123932,0.7000000000000001,0.7000000000000001,1.667156790678633,1.667156790678633,0.9333333333333332,0.9333333333333332,1.7026787848116824,1.7026787848116824,,,,,1.3333333333333333,1.3333333333333333,6.085185107399161,6.085185107399161,7.712017807220895,7.712017807220895,0,1
2051,2024-04-14,165,30,2,5,Completa,Bebidas,6,13.54,Buenos Aires,5,Transferencia,1494,27.08,15,4,6,4.0,4.0,4.0,3.6666666666666665,3.6666666666666665,0.5773502691896251,0.5773502691896251,4.714285714285714,4.714285714285714,1.112697280528376,1.112697280528376,3.2857142857142856,3.2857142857142856,1.772810520855837,1.772810520855837,,,,,3.2857142857142856,3.2857142857142856,3.380952380952381,3.380952380952381,,,,,,,54.16,1.090909090909091,1.090909090909091,6.928203230275518,6.928203230275518,0.8484848484848485,0.8484848484848485,3.594868137091661,3.594868137091661,1.2173913043478262,1.2173913043478262,2.256304299271065,2.256304299271065,,,,,1.4347826086956523,1.4347826086956523,5.82698299481409,5.82698299481409,5.245572893919487,5.245572893919487,0,4
1707,2024-04-20,223,30,2,5,Completa,Bebidas,6,13.54,Buenos Aires,5,Transferencia,2025,27.08,16,4,5,2.0,2.0,2.0,3.0,3.0,0.9999999999999996,0.9999999999999996,4.285714285714286,4.285714285714286,1.4960264830861922,1.4960264830861922,3.2142857142857144,3.2142857142857144,1.805060042835628,1.805060042835628,,,,,3.2142857142857144,3.2142857142857144,3.4285714285714284,3.4285714285714284,3.321428571428572,3.321428571428572,,,,,27.08,0.6666666666666666,0.6666666666666666,2.000000000000001,2.000000000000001,0.4666666666666667,0.4666666666666667,1.3368747295663828,1.3368747295663828,0.6222222222222222,0.6222222222222222,1.1079963837979232,1.1079963837979232,,,,,1.3333333333333333,1.3333333333333333,5.781740768800478,5.781740768800478,6.411542070369396,6.411542070369396,0,2
1088,2024-04-25,274,30,2,2,Completa,Bebidas,6,13.54,Buenos Aires,2,Tarjeta de Crédito,2467,27.08,17,4,3,2.0,2.0,2.0,2.6666666666666665,2.6666666666666665,1.154700538379251,1.154700538379251,3.7142857142857135,3.7142857142857135,1.4960264830861911,1.4960264830861911,3.2857142857142856,3.2857142857142856,1.728875643015133,1.728875643015133,,,,,3.2857142857142856,3.2857142857142856,3.333333333333333,3.333333333333333,3.1785714285714284,3.1785714285714284,,,,,27.08,0.75,0.75,1.732050807568878,1.732050807568878,0.5384615384615384,0.5384615384615384,1.3368747295663836,1.3368747295663836,0.6086956521739131,0.6086956521739131,1.156821202311596,1.156821202311596,,,,,1.1304347826086958,1.1304347826086958,5.2103121973719055,5.2103121973719055,5.55666979432014,5.55666979432014,0,2
455,2024-05-06,4,27,4,3,Completa,Bebidas,6,6.21,Buenos Aires,3,Tarjeta de Débito,25,24.84,19,5,0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,3.2857142857142856,3.2857142857142856,1.496026483086191,1.496026483086191,3.2142857142857144,3.2142857142857144,1.7619295117556788,1.7619295117556788,3.2333333333333334,3.2333333333333334,1.568731825465999,1.568731825465999,3.2142857142857144,3.2142857142857144,3.333333333333333,3.333333333333333,3.1785714285714284,3.1785714285714284,,,,,12.42,1.0,1.0,,,0.6086956521739131,0.6086956521739131,1.336874729566384,1.336874729566384,0.6222222222222222,0.6222222222222222,1.1351191898744548,1.1351191898744548,0.6185567010309279,0.6185567010309279,1.2749151687579812,1.2749151687579812,1.022222222222222,1.022222222222222,4.781740768800477,4.781740768800477,4.915515587283198,4.915515587283198,0,0
1802,2024-05-07,81,30,6,2,Completa,Bebidas,6,13.54,Buenos Aires,2,Tarjeta de Crédito,752,81.24,19,5,1,4.0,4.0,4.0,2.6666666666666665,2.6666666666666665,1.1547005383792512,1.1547005383792512,3.0,3.0,0.9999999999999984,0.9999999999999984,3.357142857142857,3.357142857142857,1.7368026705655186,1.7368026705655186,3.1666666666666665,3.1666666666666665,1.487495774165735,1.487495774165735,3.357142857142857,3.357142857142857,3.2857142857142856,3.2857142857142856,3.2142857142857144,3.2142857142857144,,,,,54.16,1.5,1.5,3.4641016151377557,3.4641016151377557,1.3333333333333333,1.3333333333333333,4.000000000000007,4.000000000000007,1.1914893617021276,1.1914893617021276,2.303082594119667,2.303082594119667,1.2631578947368425,1.2631578947368425,2.689083269660653,2.689083269660653,0.8936170212765957,0.8936170212765957,3.9999999999999982,3.9999999999999982,2.999999999999995,2.999999999999995,0,0
