ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Metodo_Pago_cat,Estado,Categoria,ID_Categoria,Precio_Unitario,Region,ID_Metodo,Metodo_Pago,ID_Ticket,Monto_Venta
1,2024-08-28,298,17,1,3,Completa,Frutas y Verduras,4,6.54,Buenos Aires,3,Tarjeta de Débito,2676,6.54
2,2024-06-01,37,15,3,1,Completa,Panadería,3,3.51,Cuyo,1,Efectivo,337,10.53
3,2024-02-29,31,21,3,3,Completa,Frutas y Verduras,4,3.25,Centro,3,Tarjeta de Débito,277,9.75
4,2024-09-26,111,37,5,4,Completa,Conservas,8,3.65,Cuyo,4,Mercado Pago,1023,18.25
6,2024-05-30,70,27,5,4,Pendiente,Bebidas,6,6.21,Centro,4,Mercado Pago,643,31.05
7,2024-12-03,43,23,6,5,Completa,Congelados,5,8.23,Patagonia,5,Transferencia,383,49.38
8,2024-02-13,214,38,4,4,Completa,Conservas,8,6.21,Patagonia,4,Mercado Pago,1941,24.84
9,2024-12-26,21,34,1,5,Completa,Galletitas y Snacks,7,5.45,Buenos Aires,5,Transferencia,187,5.45
10,2024-04-06,232,37,2,3,Completa,Conservas,8,3.65,Buenos Aires,3,Tarjeta de Débito,2097,7.3
11,2024-02-20,237,25,6,1,Completa,Congelados,5,15.45,Buenos Aires,1,Efectivo,2146,92.69999999999999
12,2024-11-12,247,20,5,1,Completa,Frutas y Verduras,4,4.25,Buenos Aires,1,Efectivo,2242,21.25
13,2024-07-07,75,32,4,4,Completa,Galletitas y Snacks,7,6.25,NEA,4,Mercado Pago,694,25.0
14,2024-02-13,171,22,4,3,Completa,Frutas y Verduras,4,4.21,Cuyo,3,Tarjeta de Débito,1553,16.84
15,2024-04-15,219,34,4,3,Completa,Galletitas y Snacks,7,5.45,Patagonia,3,Tarjeta de Débito,1985,21.8
17,2024-08-14,51,31,3,2,Completa,Galletitas y Snacks,7,5.24,Cuyo,2,Tarjeta de Crédito,460,15.72
19,2024-07-26,47,31,6,1,Pendiente,Galletitas y Snacks,7,5.24,Buenos Aires,1,Efectivo,418,31.44
21,2024-06-29,184,27,2,1,Completa,Bebidas,6,6.21,Buenos Aires,1,Efectivo,1677,12.42
22,2024-06-08,257,31,6,2,Pendiente,Galletitas y Snacks,7,5.24,NEA,2,Tarjeta de Crédito,2325,31.44
23,2024-08-25,4,34,6,1,Completa,Galletitas y Snacks,7,5.45,Buenos Aires,1,Efectivo,28,32.7
24,2024-07-04,184,37,4,3,Completa,Conservas,8,3.65,Buenos Aires,3,Tarjeta de Débito,1678,14.6
25,2024-09-24,275,34,3,3,Completa,Galletitas y Snacks,7,5.45,Buenos Aires,3,Tarjeta de Débito,2481,16.35
26,2024-09-16,286,23,2,5,Completa,Congelados,5,8.23,Centro,5,Transferencia,2581,16.46
27,2024-06-25,85,25,1,3,Completa,Congelados,5,15.45,Cuyo,3,Tarjeta de Débito,786,15.45
28,2024-03-06,240,23,3,3,Pendiente,Congelados,5,8.23,Buenos Aires,3,Tarjeta de Débito,2172,24.69
29,2024-02-12,205,38,2,3,Completa,Conservas,8,6.21,Patagonia,3,Tarjeta de Débito,1852,12.42
30,2024-05-25,46,30,1,5,Completa,Bebidas,6,13.54,Centro,5,Transferencia,405,13.54
32,2024-10-29,155,37,6,4,Completa,Conservas,8,3.65,Cuyo,4,Mercado Pago,1406,21.9
33,2024-10-27,65,23,2,5,Completa,Congelados,5,8.23,Buenos Aires,5,Transferencia,597,16.46
34,2024-02-15,325,35,5,2,Completa,Conservas,8,4.25,NEA,2,Tarjeta de Crédito,2924,21.25
36,2024-10-11,77,27,2,1,Completa,Bebidas,6,6.21,Buenos Aires,1,Efectivo,714,12.42
37,2024-05-14,12,36,5,4,Completa,Conservas,8,3.25,Patagonia,4,Mercado Pago,101,16.25
38,2024-10-17,271,20,6,3,Completa,Frutas y Verduras,4,4.25,Patagonia,3,Tarjeta de Débito,2441,25.5
39,2024-02-26,183,26,2,4,Completa,Congelados,5,9.54,Patagonia,4,Mercado Pago,1664,19.08
40,2024-03-16,125,34,6,1,Completa,Galletitas y Snacks,7,5.45,Patagonia,1,Efectivo,1142,32.7
41,2024-06-08,38,30,4,5,Completa,Bebidas,6,13.54,Patagonia,5,Transferencia,345,54.16
42,2024-03-16,259,32,5,5,Completa,Galletitas y Snacks,7,6.25,Cuyo,5,Transferencia,2342,31.25
43,2024-02-02,294,31,1,4,Completa,Galletitas y Snacks,7,5.24,Centro,4,Mercado Pago,2644,5.24
44,2024-03-19,122,30,2,4,Completa,Bebidas,6,13.54,Centro,4,Mercado Pago,1111,27.08
45,2024-06-02,11,30,3,5,Completa,Bebidas,6,13.54,Buenos Aires,5,Transferencia,89,40.62
47,2024-08-01,86,31,4,2,Completa,Galletitas y Snacks,7,5.24,Patagonia,2,Tarjeta de Crédito,797,20.96
49,2024-05-12,237,26,3,5,Pendiente,Congelados,5,9.54,Buenos Aires,5,Transferencia,2151,28.619999999999997
50,2024-06-25,233,23,2,5,Completa,Congelados,5,8.23,Centro,5,Transferencia,2109,16.46
51,2024-05-23,189,18,2,4,Completa,Frutas y Verduras,4,7.25,Patagonia,4,Mercado Pago,1731,14.5
52,2024-09-04,50,16,6,4,Completa,Panadería,3,15.23,Buenos Aires,4,Mercado Pago,450,91.38
53,2024-02-19,66,30,2,5,Completa,Bebidas,6,13.54,Buenos Aires,5,Transferencia,601,27.08
54,2024-03-08,108,13,1,2,Completa,Panadería,3,12.56,Patagonia,2,Tarjeta de Crédito,994,12.56
56,2024-09-27,91,20,6,3,Completa,Frutas y Verduras,4,4.25,Buenos Aires,3,Tarjeta de Débito,844,25.5
57,2024-08-02,305,13,1,5,Completa,Panadería,3,12.56,Patagonia,5,Transferencia,2732,12.56
59,2024-09-29,242,16,6,5,Completa,Panadería,3,15.23,NEA,5,Transferencia,2198,91.38
60,2024-05-03,53,20,5,3,Completa,Frutas y Verduras,4,4.25,Centro,3,Tarjeta de Débito,471,21.25
62,2024-08-07,205,15,2,5,Completa,Panadería,3,3.51,Patagonia,5,Transferencia,1858,7.02
63,2024-05-11,180,33,1,3,Completa,Galletitas y Snacks,7,8.54,Buenos Aires,3,Tarjeta de Débito,1639,8.54
64,2024-12-04,82,24,4,1,Completa,Congelados,5,13.54,Buenos Aires,1,Efectivo,766,54.16
65,2024-11-18,205,27,5,3,Completa,Bebidas,6,6.21,Patagonia,3,Tarjeta de Débito,1863,31.05
66,2024-03-01,97,27,3,5,Completa,Bebidas,6,6.21,Buenos Aires,5,Transferencia,889,18.63
67,2024-07-06,120,18,2,5,Completa,Frutas y Verduras,4,7.25,Buenos Aires,5,Transferencia,1099,14.5
68,2024-10-06,127,20,2,5,Completa,Frutas y Verduras,4,4.25,Buenos Aires,5,Transferencia,1164,8.5
69,2024-08-18,4,38,3,3,Completa,Conservas,8,6.21,Buenos Aires,3,Tarjeta de Débito,27,18.63
70,2024-05-27,138,33,4,3,Pendiente,Galletitas y Snacks,7,8.54,Buenos Aires,3,Tarjeta de Débito,1251,34.16
72,2024-03-02,144,23,5,2,Completa,Congelados,5,8.23,NEA,2,Tarjeta de Crédito,1298,41.150000000000006
73,2024-06-25,143,26,3,1,Completa,Congelados,5,9.54,Buenos Aires,1,Efectivo,1292,28.619999999999997
74,2024-07-16,125,19,4,5,Pendiente,Frutas y Verduras,4,6.54,Patagonia,5,Transferencia,1146,26.16
75,2024-12-24,200,35,4,4,Completa,Conservas,8,4.25,Centro,4,Mercado Pago,1820,17.0
76,2024-11-04,147,36,5,3,Completa,Conservas,8,3.25,Cuyo,3,Tarjeta de Débito,1327,16.25
77,2024-02-18,320,27,2,3,Completa,Bebidas,6,6.21,Centro,3,Tarjeta de Débito,2884,12.42
78,2024-08-13,60,13,6,4,Completa,Panadería,3,12.56,NEA,4,Mercado Pago,551,75.36
79,2024-06-30,133,24,4,4,Pendiente,Congelados,5,13.54,Buenos Aires,4,Mercado Pago,1210,54.16
80,2024-04-09,313,25,6,3,Completa,Congelados,5,15.45,Cuyo,3,Tarjeta de Débito,2809,92.69999999999999
82,2024-04-15,246,27,3,4,Completa,Bebidas,6,6.21,NEA,4,Mercado Pago,2226,18.63
84,2024-10-11,110,13,1,4,Completa,Panadería,3,12.56,NEA,4,Mercado Pago,1013,12.56
86,2024-03-29,188,30,2,4,Completa,Bebidas,6,13.54,Cuyo,4,Mercado Pago,1718,27.08
87,2024-04-25,152,26,6,5,Completa,Congelados,5,9.54,NOA,5,Transferencia,1372,57.239999999999995
88,2024-02-24,176,37,1,5,Completa,Conservas,8,3.65,NEA,5,Transferencia,1600,3.65
90,2024-05-10,161,16,3,5,Completa,Panadería,3,15.23,Patagonia,5,Transferencia,1455,45.69
92,2024-07-24,190,22,2,5,Completa,Frutas y Verduras,4,4.21,NEA,5,Transferencia,1743,8.42
93,2024-11-02,101,26,4,2,Pendiente,Congelados,5,9.54,Buenos Aires,2,Tarjeta de Crédito,932,38.16
94,2024-08-06,174,31,1,1,Completa,Galletitas y Snacks,7,5.24,Patagonia,1,Efectivo,1584,5.24
95,2024-03-03,67,14,5,4,Completa,Panadería,3,12.36,NEA,4,Mercado Pago,611,61.8
96,2024-06-15,93,14,3,5,Completa,Panadería,3,12.36,Buenos Aires,5,Transferencia,854,37.08
97,2024-07-09,103,19,1,4,Pendiente,Frutas y Verduras,4,6.54,Patagonia,4,Mercado Pago,947,6.54
98,2024-06-22,177,20,1,1,Completa,Frutas y Verduras,4,4.25,NEA,1,Efectivo,1615,4.25
99,2024-11-01,11,17,1,2,Completa,Frutas y Verduras,4,6.54,Buenos Aires,2,Tarjeta de Crédito,95,6.54
100,2024-09-29,134,26,6,1,Completa,Congelados,5,9.54,Cuyo,1,Efectivo,1225,57.239999999999995
101,2024-11-07,281,36,1,5,Completa,Conservas,8,3.25,Buenos Aires,5,Transferencia,2538,3.25
